Date,Open,High,Low,Close,Volume,Adj Close
2016-10-11,13.71,16.469999,13.69,15.36,000,15.36
2016-10-10,14.19,14.36,13.29,13.38,000,13.38
2016-10-07,13.52,14.15,12.21,13.48,000,13.48
2016-10-06,13.11,13.84,12.80,12.84,000,12.84
2016-10-05,13.56,13.68,12.70,12.99,000,12.99
2016-10-04,13.40,14.57,12.92,13.63,000,13.63
2016-10-03,13.75,14.42,13.42,13.57,000,13.57
2016-09-30,14.91,15.20,12.53,13.29,000,13.29
2016-09-29,12.53,15.69,12.14,14.02,000,14.02
2016-09-28,12.90,13.57,12.24,12.39,000,12.39
2016-09-27,13.36,14.76,12.97,13.10,000,13.10
2016-09-26,13.26,14.63,13.26,14.50,000,14.50
2016-09-23,12.00,12.58,11.93,12.29,000,12.29
2016-09-22,13.39,13.39,11.76,12.02,000,12.02
2016-09-21,15.07,15.65,12.98,13.30,000,13.30
2016-09-20,14.98,16.09,14.69,15.92,000,15.92
2016-09-19,15.14,15.96,14.60,15.53,000,15.53
2016-09-16,16.41,17.10,15.28,15.37,000,15.37
2016-09-15,17.969999,18.07,15.74,16.299999,000,16.299999
2016-09-14,17.629999,18.139999,16.34,18.139999,000,18.139999
2016-09-13,15.98,18.969999,15.83,17.85,000,17.85
2016-09-12,20.129999,20.51,14.76,15.16,000,15.16
2016-09-09,12.52,17.540001,12.52,17.50,000,17.50
2016-09-08,11.74,12.60,11.65,12.51,000,12.51
2016-09-07,11.89,12.45,11.77,11.94,000,11.94
2016-09-06,12.42,12.93,11.85,12.02,000,12.02
2016-09-02,13.47,13.90,11.90,11.98,000,11.98
2016-09-01,13.07,14.61,12.99,13.48,000,13.48
2016-08-31,13.14,14.34,12.97,13.42,000,13.42
2016-08-30,12.94,13.60,12.70,13.12,000,13.12
2016-08-29,14.09,14.43,12.90,12.94,000,12.94
2016-08-26,13.54,14.93,12.13,13.65,000,13.65
2016-08-25,13.62,14.09,13.29,13.63,000,13.63
2016-08-24,12.70,14.01,12.30,13.45,000,13.45
2016-08-23,12.15,12.44,11.72,12.38,000,12.38
2016-08-22,12.53,13.02,11.94,12.27,000,12.27
2016-08-19,11.67,12.28,11.33,11.34,000,11.34
2016-08-18,12.20,12.53,11.42,11.43,000,11.43
2016-08-17,12.57,13.71,12.14,12.19,000,12.19
2016-08-16,12.04,12.78,11.87,12.64,000,12.64
2016-08-15,11.81,12.17,11.58,11.81,000,11.81
2016-08-12,11.61,12.00,11.28,11.55,000,11.55
2016-08-11,11.93,12.11,11.38,11.68,000,11.68
2016-08-10,11.55,12.50,11.37,12.05,000,12.05
2016-08-09,11.40,11.92,11.02,11.66,000,11.66
2016-08-08,11.66,11.78,11.41,11.50,000,11.50
2016-08-05,12.08,12.26,11.18,11.39,000,11.39
2016-08-04,12.73,12.98,11.79,12.42,000,12.42
2016-08-03,13.53,13.91,12.73,12.86,000,12.86
2016-08-02,12.39,14.24,12.35,13.37,000,13.37
2016-08-01,11.89,12.98,11.86,12.44,000,12.44
2016-07-29,12.85,12.90,11.77,11.87,000,11.87
2016-07-28,12.51,13.52,12.36,12.72,000,12.72
2016-07-27,12.61,13.74,12.50,12.83,000,12.83
2016-07-26,12.88,13.50,12.80,13.05,000,13.05
2016-07-25,12.64,13.72,12.39,12.87,000,12.87
2016-07-22,12.80,12.88,11.97,12.02,000,12.02
2016-07-21,11.80,13.06,11.69,12.74,000,12.74
2016-07-20,11.94,11.97,11.40,11.77,000,11.77
2016-07-19,12.53,12.83,11.94,11.97,000,11.97
2016-07-18,12.75,13.12,12.33,12.44,000,12.44
2016-07-15,13.12,13.22,12.27,12.67,000,12.67
2016-07-14,12.50,13.37,12.14,12.82,000,12.82
2016-07-13,13.32,13.79,12.92,13.04,000,13.04
2016-07-12,12.93,13.93,12.75,13.55,000,13.55
2016-07-11,13.25,13.67,13.00,13.54,000,13.54
2016-07-08,14.64,14.75,13.19,13.20,000,13.20
2016-07-07,14.80,15.98,14.33,14.76,000,14.76
2016-07-06,15.87,17.040001,14.96,14.96,000,14.96
2016-07-05,16.049999,16.620001,15.49,15.58,000,15.58
2016-07-01,15.59,15.86,14.61,14.77,000,14.77
2016-06-30,16.91,16.99,15.29,15.63,000,15.63
2016-06-29,18.120001,18.27,16.48,16.639999,000,16.639999
2016-06-28,21.76,22.07,18.75,18.75,000,18.75
2016-06-27,24.379999,26.719999,22.93,23.85,000,23.85
2016-06-24,26.059999,26.24,19.48,25.76,000,25.76
2016-06-23,19.540001,19.790001,17.25,17.25,000,17.25
2016-06-22,18.26,21.219999,17.83,21.17,000,21.17
2016-06-21,17.67,18.959999,16.91,18.48,000,18.48
2016-06-20,17.42,18.549999,16.59,18.370001,000,18.370001
2016-06-17,19.42,20.030001,18.709999,19.41,000,19.41
2016-06-16,20.799999,22.889999,19.24,19.370001,000,19.370001
2016-06-15,20.25,20.450001,18.629999,20.139999,000,20.139999
2016-06-14,21.280001,22.16,20.27,20.50,000,20.50
2016-06-13,18.24,21.01,17.889999,20.969999,000,20.969999
2016-06-10,14.89,17.33,14.85,17.030001,000,17.030001
2016-06-09,14.01,14.85,13.99,14.64,000,14.64
2016-06-08,13.84,14.27,13.70,14.08,000,14.08
2016-06-07,12.77,14.05,12.72,14.05,000,14.05
2016-06-06,13.84,14.27,13.42,13.65,000,13.65
2016-06-03,13.78,14.66,12.90,13.47,000,13.47
2016-06-02,14.42,14.92,13.62,13.63,000,13.63
2016-06-01,14.45,15.25,14.18,14.20,000,14.20
2016-05-31,13.94,15.00,13.45,14.19,000,14.19
2016-05-27,13.49,13.76,13.04,13.12,000,13.12
2016-05-26,13.80,14.11,13.43,13.43,000,13.43
2016-05-25,14.19,14.33,13.64,13.90,000,13.90
2016-05-24,16.030001,16.059999,14.36,14.42,000,14.42
2016-05-23,16.33,16.469999,15.40,15.82,000,15.82
2016-05-20,16.129999,16.299999,15.11,15.20,000,15.20
2016-05-19,16.370001,17.65,16.280001,16.33,000,16.33
2016-05-18,15.72,16.469999,14.86,15.95,000,15.95
2016-05-17,14.57,16.120001,14.48,15.57,000,15.57
2016-05-16,15.72,15.98,14.28,14.68,000,14.68
2016-05-13,15.15,15.47,13.97,15.04,000,15.04
2016-05-12,14.55,15.42,13.95,14.41,000,14.41
2016-05-11,13.92,14.69,13.29,14.69,000,14.69
2016-05-10,13.98,14.35,13.55,13.63,000,13.63
2016-05-09,15.20,15.39,14.17,14.57,000,14.57
2016-05-06,16.200001,16.58,14.71,14.72,000,14.72
2016-05-05,15.54,16.450001,15.22,15.91,000,15.91
2016-05-04,15.47,16.85,15.39,16.049999,000,16.049999
2016-05-03,14.92,16.42,14.91,15.60,000,15.60
2016-05-02,16.33,16.50,14.48,14.68,000,14.68
2016-04-29,15.21,17.09,14.91,15.70,000,15.70
2016-04-28,14.53,15.61,13.30,15.22,000,15.22
2016-04-27,14.15,14.95,13.50,13.77,000,13.77
2016-04-26,14.01,14.43,13.66,13.96,000,13.96
2016-04-25,14.07,14.76,13.86,14.08,000,14.08
2016-04-22,13.70,14.19,13.15,13.22,000,13.22
2016-04-21,13.20,14.14,13.16,13.95,000,13.95
2016-04-20,13.39,13.50,12.50,13.28,000,13.28
2016-04-19,13.18,13.88,12.98,13.24,000,13.24
2016-04-18,14.87,14.94,13.23,13.35,000,13.35
2016-04-15,13.77,14.19,13.58,13.62,000,13.62
2016-04-14,13.90,14.12,13.38,13.72,000,13.72
2016-04-13,14.49,14.53,13.60,13.84,000,13.84
2016-04-12,15.98,16.57,14.84,14.85,000,14.85
2016-04-11,15.34,16.26,14.83,16.26,000,16.26
2016-04-08,15.34,15.93,14.84,15.36,000,15.36
2016-04-07,15.14,16.77,14.68,16.16,000,16.16
2016-04-06,15.61,15.98,14.00,14.09,000,14.09
2016-04-05,15.39,15.72,14.93,15.42,000,15.42
2016-04-04,13.88,14.24,13.66,14.12,000,14.12
2016-04-01,15.23,15.28,13.00,13.10,000,13.10
2016-03-31,13.73,14.28,13.49,13.95,000,13.95
2016-03-30,13.69,13.89,13.06,13.56,000,13.56
2016-03-29,15.74,15.89,13.79,13.82,000,13.82
2016-03-28,15.65,16.040001,14.89,15.24,000,15.24
2016-03-24,16.299999,16.440001,14.71,14.74,000,14.74
2016-03-23,14.57,15.03,14.33,14.94,000,14.94
2016-03-22,14.57,14.76,13.75,14.17,000,14.17
2016-03-21,14.57,14.73,13.79,13.79,000,13.79
2016-03-18,14.05,14.36,13.75,14.02,000,14.02
2016-03-17,15.34,15.38,13.82,14.44,000,14.44
2016-03-16,15.96,16.33,14.89,14.99,000,14.99
2016-03-15,17.60,17.85,16.84,16.84,000,16.84
2016-03-14,17.01,17.67,16.690001,16.92,000,16.92
2016-03-11,17.09,17.27,16.280001,16.50,000,16.50
2016-03-10,18.17,19.59,17.059999,18.049999,000,18.049999
2016-03-09,18.559999,19.110001,18.309999,18.34,000,18.34
2016-03-08,18.379999,18.889999,17.82,18.67,000,18.67
2016-03-07,17.98,18.040001,16.870001,17.35,000,17.35
2016-03-04,16.48,17.35,16.049999,16.860001,000,16.860001
2016-03-03,17.25,17.559999,16.32,16.700001,000,16.700001
2016-03-02,17.98,18.41,16.780001,17.09,000,17.09
2016-03-01,19.84,20.17,17.66,17.700001,000,17.700001
2016-02-29,20.49,20.809999,18.379999,20.549999,000,20.549999
2016-02-26,18.889999,20.129999,18.459999,19.809999,000,19.809999
2016-02-25,20.540001,21.26,19.10,19.110001,000,19.110001
2016-02-24,22.280001,22.870001,20.26,20.719999,000,20.719999
2016-02-23,19.75,21.16,19.540001,20.98,000,20.98
2016-02-22,20.139999,20.35,19.02,19.379999,000,19.379999
2016-02-19,22.389999,23.440001,20.52,20.530001,000,20.530001
2016-02-18,22.16,22.530001,21.290001,21.639999,000,21.639999
2016-02-17,23.40,24.16,21.83,22.309999,000,22.309999
2016-02-16,24.959999,25.52,23.32,24.110001,000,24.110001
2016-02-12,27.16,27.57,24.92,25.40,000,25.40
2016-02-11,29.01,30.90,26.67,28.139999,000,28.139999
2016-02-10,25.75,26.60,24.469999,26.290001,000,26.290001
2016-02-09,28.299999,28.309999,25.99,26.540001,000,26.540001
2016-02-08,25.889999,27.719999,25.559999,26.00,000,26.00
2016-02-05,22.09,24.110001,21.91,23.379999,000,23.379999
2016-02-04,22.290001,23.139999,21.24,21.84,000,21.84
2016-02-03,21.49,27.700001,21.42,21.65,000,21.65
2016-02-02,21.34,22.42,21.059999,21.98,000,21.98
2016-02-01,21.32,23.66,19.610001,19.98,000,19.98
2016-01-29,21.59,21.74,19.50,20.200001,000,20.200001
2016-01-28,22.15,23.809999,21.90,22.42,000,22.42
2016-01-27,22.879999,27.219999,20.42,23.110001,000,23.110001
2016-01-26,23.75,24.02,22.33,22.50,000,22.50
2016-01-25,23.299999,24.309999,22.379999,24.15,000,24.15
2016-01-22,24.209999,24.549999,22.219999,22.34,000,22.34
2016-01-21,27.790001,28.43,25.01,26.690001,000,26.690001
2016-01-20,27.780001,32.09,26.59,27.59,000,27.59
2016-01-19,25.40,27.59,25.209999,26.049999,000,26.049999
2016-01-15,28.959999,30.950001,26.67,27.02,000,27.02
2016-01-14,24.75,26.280001,23.07,23.950001,000,23.950001
2016-01-13,21.719999,26.110001,21.440001,25.219999,000,25.219999
2016-01-12,22.969999,23.93,21.91,22.469999,000,22.469999
2016-01-11,25.58,27.389999,23.83,24.299999,000,24.299999
2016-01-08,22.959999,27.08,22.48,27.01,000,27.01
2016-01-07,23.219999,25.860001,22.40,24.99,000,24.99
2016-01-06,21.67,21.860001,19.799999,20.59,000,20.59
2016-01-05,20.75,21.059999,19.25,19.34,000,19.34
2016-01-04,22.48,23.360001,20.67,20.700001,000,20.700001
